FamilyID,water_buffalo,wild_yak,takin
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
3,1,1,1
